Category,Model,Factory Price,Model Stock,Date,Month,Year
Sports car,Aston Martin Vantage,139000,49,5,8,2019
Sports car,Dodge Challenger,34995,49,3,9,2018
SUV,Nissan Kicks,19550,49,24,3,2017
Coupe,Porsche Boxster,59600,49,27,2,2017
Sports car,Aston Martin Vantage,139000,48,17,7,2017
SUV,Chevrolet Tahoe,49000,49,16,9,2020
Sedan,Honda Accord,24270,49,1,3,2017
SUV,Chevrolet Tahoe,49000,48,13,6,2016
Pickup,Chevy Colorado,21300,49,1,4,2017
Sedan,Honda Accord,24270,48,11,1,2016
Pickup,Honda Ridgeline,36490,49,9,3,2016
Coupe,Porsche Boxster,59600,48,5,5,2019
Sports car,Aston Martin Vantage,139000,47,7,11,2016
Sports car,Mazda Miata,33000,49,2,1,2020
SUV,Chevrolet Tahoe,49000,47,28,3,2018
Pickup,GMC Canyon,26400,49,18,9,2016
SUV,Nissan Kicks,19550,48,27,9,2016
SUV,Hyundai Kona,20500,49,9,1,2016
Sports car,Dodge Challenger,34995,48,23,9,2020
Pickup,Honda Ridgeline,36490,48,16,11,2017
SUV,Ford Expedition,49995,49,24,7,2016
Sedan,Nissan Altima,24100,49,21,8,2017
Sports car,Mazda Miata,33000,48,20,8,2017
SUV,Chevrolet Tahoe,49000,46,24,3,2019
Coupe,Audi A5,44000,49,23,3,2020
Sedan,Honda Civic,21750,49,14,7,2019
Pickup,Chevy Colorado,21300,48,30,9,2016
Sports car,Mazda Miata,33000,47,10,11,2017
Pickup,Chevy Colorado,21300,47,18,7,2018
Pickup,Jeep Gladiator,33900,49,9,11,2019
Coupe,Audi A5,44000,48,9,4,2018
Pickup,Jeep Gladiator,33900,48,10,10,2020
SUV,Hyundai Kona,20500,48,14,8,2017
Sedan,Toyota Corolla,20290,49,15,11,2020
Sedan,Honda Accord,24270,47,14,6,2017
Pickup,Jeep Gladiator,33900,47,4,10,2018
Sedan,Toyota Corolla,20290,48,18,1,2019
Pickup,Jeep Gladiator,33900,46,3,11,2020
Pickup,Honda Ridgeline,36490,47,4,10,2018
Sedan,Honda Civic,21750,48,4,10,2016
SUV,Chevrolet Tahoe,49000,45,22,1,2017
Pickup,Chevy Colorado,21300,46,21,6,2016
Coupe,Audi A5,44000,47,16,11,2018
Pickup,Chevy Colorado,21300,45,12,3,2019
Sports car,Mazda Miata,33000,46,6,3,2018
SUV,Ford Expedition,49995,48,6,10,2018
Sedan,Honda Civic,21750,47,4,6,2019
Sedan,Honda Civic,21750,46,15,7,2018
Pickup,Chevy Colorado,21300,44,7,6,2019
Coupe,Chevrolet Corvette,59900,49,16,8,2020
Sedan,Nissan Altima,24100,48,29,9,2018
SUV,Hyundai Kona,20500,47,6,5,2017
Coupe,Audi A5,44000,46,18,8,2016
Pickup,Chevy Colorado,21300,43,6,9,2017
Sedan,Nissan Altima,24100,47,24,5,2017
Pickup,GMC Canyon,26400,48,14,7,2019
Pickup,Chevy Colorado,21300,42,23,5,2016
Sports car,Dodge Challenger,34995,47,21,5,2019
Sports car,Dodge Challenger,34995,46,21,11,2017
SUV,Hyundai Kona,20500,46,21,10,2020
Sports car,Porsche 911,97400,49,23,3,2020
Sports car,Dodge Challenger,34995,45,26,8,2019
Coupe,Ford Mustang,26670,49,13,6,2020
Sports car,Dodge Challenger,34995,44,2,3,2016
Sedan,Honda Accord,24270,46,8,10,2020
Pickup,Jeep Gladiator,33900,45,26,3,2019
Pickup,GMC Canyon,26400,47,16,7,2020
Pickup,GMC Canyon,26400,46,24,2,2016
Sports car,Aston Martin Vantage,139000,46,7,5,2017
Sports car,Dodge Challenger,34995,43,29,4,2018
Sports car,Porsche 911,97400,48,4,2,2019
Coupe,Porsche Boxster,59600,47,1,4,2020
Pickup,GMC Canyon,26400,45,11,5,2016
Sedan,Nissan Altima,24100,46,20,4,2019
Sports car,Dodge Challenger,34995,42,4,5,2017
Coupe,Audi A5,44000,45,9,6,2016
Sedan,Honda Civic,21750,45,12,6,2019
Sedan,Toyota Corolla,20290,47,26,3,2019
Pickup,Honda Ridgeline,36490,46,2,9,2017
SUV,Hyundai Kona,20500,45,19,6,2016
SUV,Hyundai Kona,20500,44,11,11,2019
SUV,Hyundai Kona,20500,43,12,3,2019
Pickup,Jeep Gladiator,33900,44,26,8,2016
Sedan,Honda Accord,24270,45,23,5,2018
Sedan,Nissan Altima,24100,45,9,9,2016
Pickup,Jeep Gladiator,33900,43,3,11,2019
Pickup,GMC Canyon,26400,44,30,6,2017
Coupe,Porsche Boxster,59600,46,10,6,2020
Pickup,Jeep Gladiator,33900,42,8,8,2020
Pickup,Honda Ridgeline,36490,45,2,1,2018
Sedan,Nissan Altima,24100,44,30,11,2019
Sedan,Nissan Altima,24100,43,17,11,2019
SUV,Ford Expedition,49995,47,2,2,2018
Sedan,Nissan Altima,24100,42,16,6,2017
Sedan,Nissan Altima,24100,41,24,3,2017
Pickup,Chevy Colorado,21300,41,23,5,2020
Coupe,Porsche Boxster,59600,45,12,9,2016
SUV,Ford Expedition,49995,46,11,6,2016
Sports car,Dodge Challenger,34995,41,4,5,2016
Sports car,Aston Martin Vantage,139000,45,2,3,2020
